Gene_ID,GO_Term
ENOX2,GO:0003676
ENOX2,GO:0003723
ENOX2,GO:0003723
ENOX2,GO:0003723
ENOX2,GO:0016491
ENOX2,GO:0007624
ENOX2,GO:0009897
KIF21B,GO:0000166
KIF21B,GO:0000166
KIF21B,GO:0003774
KIF21B,GO:0003777
KIF21B,GO:0005524
KIF21B,GO:0005524
KIF21B,GO:0005524
KIF21B,GO:0008017
KIF21B,GO:0007018
KIF21B,GO:0005856
ATP5F1D,GO:0046933
ATP5F1D,GO:0006811
ATP5F1D,GO:0015986
ATP5F1D,GO:0005743
ATP5F1D,GO:0016020
ATP5F1D,GO:0045261
TRMT61A,GO:0008168
TRMT61A,GO:0016429
TRMT61A,GO:0016429
TRMT61A,GO:0016740
TRMT61A,GO:0008033
TRMT61A,GO:0030488
TRMT61A,GO:0030488
TRMT61A,GO:0032259
TRMT61A,GO:0005634
TRMT61A,GO:0005634
TRMT61A,GO:0031515
TRMT61A,GO:0031515
ELMOD1,GO:0005096
ELMOD1,GO:0043547
MAST1,GO:0000166
MAST1,GO:0000287
MAST1,GO:0004672
MAST1,GO:0004674
MAST1,GO:0004674
MAST1,GO:0004674
MAST1,GO:0005524
MAST1,GO:0005524
MAST1,GO:0016301
MAST1,GO:0016740
MAST1,GO:0006468
MAST1,GO:0007010
MAST1,GO:0016310
MAST1,GO:0035556
RYR1,GO:0005219
RYR1,GO:0005262
RYR1,GO:0005516
RYR1,GO:0006816
RYR1,GO:0051209
RYR1,GO:0070588
RYR1,GO:0016020
RYR1,GO:0016529
RYR1,GO:0033017
PALLD,GO:0016477
PALLD,GO:0030036
A0A674G6T2,GO:0000166
A0A674G6T2,GO:0005524
A0A674G6T2,GO:0005524
A0A674G6T2,GO:0016787
A0A674G6T2,GO:0016887
A0A674G6T2,GO:0042393
A0A674G6T2,GO:0140658
A0A674G6T2,GO:0006338
A0A674G6T2,GO:0006338
A0A674G6T2,GO:0006355
A0A674G6T2,GO:0006355
A0A674G6T2,GO:0005634
A0A674G6T2,GO:0005634
A0A674G6T2,GO:0005634
A0A674G6T2,GO:0016514
A0A674G6T2,GO:0070603
FANCI,GO:0006281
MAPK10,GO:0000166
MAPK10,GO:0004672
MAPK10,GO:0004674
MAPK10,GO:0004674
MAPK10,GO:0004707
MAPK10,GO:0004707
MAPK10,GO:0004707
MAPK10,GO:0005524
MAPK10,GO:0005524
MAPK10,GO:0005524
MAPK10,GO:0016301
MAPK10,GO:0016740
MAPK10,GO:0106310
MAPK10,GO:0000165
MAPK10,GO:0006468
MAPK10,GO:0016310
MAPK10,GO:0048511
MAPK10,GO:0005737
ACO1,GO:0003723
ACO1,GO:0003994
ACO1,GO:0003994
ACO1,GO:0030350
ACO1,GO:0046872
ACO1,GO:0047780
ACO1,GO:0051536
ACO1,GO:0051539
ACO1,GO:0051539
ACO1,GO:0006879
ACO1,GO:0010040
ACO1,GO:0005737
ACO1,GO:0005829
A0A674G6U7,GO:0005739
A0A674G6U7,GO:0005739
A0A674G6U7,GO:0005739
A0A674G6U7,GO:0005840
A0A674G6U7,GO:1990904
ACER1,GO:0016787
ACER1,GO:0016811
ACER1,GO:0017040
ACER1,GO:0017040
ACER1,GO:0102121
ACER1,GO:0006629
ACER1,GO:0006665
ACER1,GO:0006665
ACER1,GO:0006672
ACER1,GO:0046512
ACER1,GO:0016020
ACER1,GO:0016020
A0A674G6V1,GO:0046872
A0A674G6V1,GO:0006099
A0A674G6V1,GO:0005739
A0A674G6V1,GO:0005740
A0A674G6V1,GO:0005743
A0A674G6V1,GO:0005743
A0A674G6V1,GO:0016020
A0A674G6V1,GO:0016020
A0A674G6V1,GO:0016020
STK3,GO:0000166
STK3,GO:0000166
STK3,GO:0004672
STK3,GO:0004674
STK3,GO:0004674
STK3,GO:0004674
STK3,GO:0005524
STK3,GO:0005524
STK3,GO:0005524
STK3,GO:0016740
STK3,GO:0006468
STK3,GO:0007165
STK3,GO:0051262
STK3,GO:0005634
LOC105759791,GO:0019843
LOC105759791,GO:0006364
LOC105759791,GO:0005730
LDB2,GO:0003712
LDB2,GO:0030274
LDB2,GO:0006351
LDB2,GO:0006357
LDB2,GO:0005634
LOC115491824,GO:0005179
LOC115491824,GO:0005179
LOC115491824,GO:0007165
LOC115491824,GO:0005576
LOC115491824,GO:0005576
ITGB3BP,GO:0006355
ITGB3BP,GO:0034080
A0A674G6W1,GO:0022857
A0A674G6W1,GO:0055085
A0A674G6W1,GO:0016020
MAP3K4,GO:0000166
MAP3K4,GO:0000166
